Sleep_Duration,Stress_Level,Physical_Activity,Heart_Rate,Quality_of_Sleep
6.2472407130841745,3,52.43679109349543,91,1
9.704285838459498,6,72.78369616203622,87,2
8.39196365086843,2,91.80316798500421,85,2
7.59195090518222,8,112.08655738564616,75,1
4.936111842654619,4,50.03337203676923,80,1
4.935967122017216,10,88.79211327965278,78,0
4.3485016730091965,8,67.31437907235602,95,0
9.197056874649611,8,64.3310657070349,96,1
7.606690070459253,8,35.52716917950226,63,1
8.248435466776273,1,87.187884224998,60,2
4.123506965774815,5,75.37752474398953,61,1
9.819459112971966,10,95.30612594061574,65,1
8.99465584480253,6,109.95459218167845,76,2
5.2740346640696565,9,74.61260408342905,65,0
5.090949803242603,9,45.07275335280139,62,0
5.100427059120603,5,108.49432732699307,94,1
5.825453457757226,3,86.57876244407738,66,1
7.148538589793427,9,62.960852983169495,99,1
6.591670111852695,6,78.71394413568785,96,1
5.747374841188251,7,41.91065615403265,91,0
7.671117368334277,4,47.43220178534745,77,1
4.836963163912251,3,84.12208188066187,63,1
5.752867891211309,4,100.28518981534641,87,1
6.19817105976215,7,99.34533935488088,78,1
6.736419905302215,7,13.949761743455594,80,0
8.711055768358081,7,34.95337063778799,74,1
5.198042692950159,7,37.23725639256101,77,0
7.085406630481669,8,44.222491055346154,68,1
7.554487413172255,10,69.39302694944656,70,1
4.278702476319986,10,47.0726695809093,66,0
7.645269111408631,10,72.4742092051114,64,1
5.023144742123749,7,19.798770829303407,71,0
4.390309557911677,10,37.276779018390975,76,0
9.69331322352,7,114.56507178169912,67,2
9.793792198447356,1,90.31526227067995,99,2
8.850384088698767,9,35.64396452096196,82,1
5.827682615040224,8,38.1150617547269,94,0
4.586032684038303,7,38.1221893020102,71,0
8.10539815907294,7,92.50045871885858,79,1
6.640914962437607,1,110.58591302779904,96,2
4.7322294090686725,2,64.82995770921309,83,1
6.971061460667621,6,55.64550864802858,89,1
4.20633112669131,6,69.66844881560901,71,0
9.455922412472692,8,77.0932974465258,86,1
5.5526798896001015,7,74.3184468829356,70,1
7.975133706123891,3,106.16197800595643,79,2
5.8702664565364655,1,119.34228435232313,96,2
7.120408127066865,7,15.63919483686431,92,1
7.280261676059678,1,90.892761081533,68,2
5.109126733153162,10,22.810888285676498,87,0
9.817507766587351,9,53.45456704799212,65,1
8.650796940166687,5,87.96605317661519,75,2
9.636993649385134,9,52.49077944104166,64,1
9.368964102565894,4,21.197951090855803,67,1
7.587399872866511,7,20.97537225686262,89,1
9.531245410138702,9,72.54346302260976,77,1
4.530955012311517,6,50.8834702358415,94,0
5.175897174514871,6,118.78708992245431,71,1
4.271363733463229,2,114.0703852831923,81,1
5.951981984579586,8,45.079278352351274,85,0
6.332063738136892,2,56.796309843476024,88,1
5.628094190643376,5,16.28415342316987,92,1
8.972425054911575,5,78.58217887792814,98,2
6.1405199601615355,4,61.545982309057415,71,1
5.685607058124285,1,19.066531711702495,73,1
7.256176498949491,9,65.13199521447972,91,1
4.845545349848576,4,78.88994862288031,67,1
8.813181884524237,6,35.25258152734257,61,1
4.447303862078625,4,31.983603956761815,73,0
9.921321619603104,9,62.309375125954396,91,1
8.633468615779945,2,96.55437672310923,75,2
5.192294089205035,9,89.47368201600146,71,0
4.033132702741614,6,36.23296937785213,78,0
8.892768570729004,8,112.22543978640716,74,1
8.241144063085702,3,68.92467600637175,67,2
8.374043008245923,5,50.18767144360201,95,1
8.627622080115675,8,71.40084162469617,77,1
4.444267910404542,10,119.80545684502214,78,0
6.150794371265635,9,42.49020355617587,71,0
4.695214357150778,9,41.37148696930654,65,0
9.178620555253561,9,98.69890543745984,78,1
7.7397887609653475,3,32.523109300331114,86,1
5.985388149115895,1,45.64841561586616,70,1
4.381350101716142,2,33.493114045270616,66,1
5.865893930293973,10,76.70871132282664,73,0
5.951099932160482,9,31.21413032998277,97,0
8.377637070028385,4,19.85336247155005,90,1
7.8253448281312785,4,111.99668351340574,85,2
9.32327645545796,5,65.59949783872032,72,2
6.8332895509716955,7,103.64334414864008,92,1
4.71756547562981,7,56.97757818443509,69,0
8.27946872333797,6,82.89025066417567,62,1
8.564710291701385,7,44.137854152886035,86,1
7.367663185416977,9,72.0399846479664,67,1
8.625803079727365,7,68.8788997568721,97,1
6.9627735781863445,4,10.80218576098331,84,1
7.136396976291964,3,55.91043693966943,62,1
6.565246110151298,10,41.62263926950971,82,0
